Sample in Buffer,Sample in Window,TRIGGER,axi_stream_gen_mon_1/rx_axis_tdata[63:0],axi_stream_gen_mon_1/rx_axis_tkeep[7:0],axi_stream_gen_mon_1/rx_axis_tvalid,axi_stream_gen_mon_1/rx_axis_tlast,axi_stream_gen_mon_1/rx_axis_tuser,axi_stream_gen_mon_1/rx_axis_tready,axi_stream_gen_mon_1/tx_axis_tdata[63:0],axi_stream_gen_mon_1/tx_axis_tkeep[7:0],axi_stream_gen_mon_1/tx_axis_tvalid,axi_stream_gen_mon_1/tx_axis_tlast,axi_stream_gen_mon_1/tx_axis_tuser,axi_stream_gen_mon_1/tx_axis_tready_1,axi_stream_gen_mon_1/tx_axis_tdata_lb[63:0],axi_stream_gen_mon_1/tx_axis_tkeep_lb[7:0],axi_stream_gen_mon_1/tx_axis_tvalid_lb,axi_stream_gen_mon_1/tx_axis_tlast_lb,axi_stream_gen_mon_1/tx_axis_tuser_lb,axi_stream_gen_mon_1/rx_axis_tready_lb,axi_stream_gen_mon_1/tx_axis_tdata_g[63:0],axi_stream_gen_mon_1/tx_axis_tkeep_g[7:0],axi_stream_gen_mon_1/tx_axis_tvalid_g,axi_stream_gen_mon_1/tx_axis_tlast_g,axi_stream_gen_mon_1/tx_axis_tuser_g,axi_stream_gen_mon_1/tx_axis_tready
0,0,0,bfcdbfcdbfcdbfcd,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1
1,1,0,bfcdbfcdbfcdbfcd,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1
2,2,0,bfcdbfcdbfcdbfcd,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1
3,3,0,bfcdbfcdbfcdbfcd,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1
4,4,0,bfcdbfcdbfcdbfcd,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1
5,5,0,bfcdbfcdbfcdbfcd,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1
6,6,0,bfcdbfcdbfcdbfcd,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1
7,7,0,bfcdbfcdbfcdbfcd,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1
8,8,0,bfcdbfcdbfcdbfcd,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1
9,9,0,bfcdbfcdbfcdbfcd,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bfd4bfd4bfd4bfd4,ff,1,0,0,1
