Sample in Buffer,Sample in Window,TRIGGER,tb_tg_config_ch0[31:0],tb_tg_config_ch1[31:0],xphy_status_ch0[7:0],xphy_status_ch1[7:0],s_axis_tx_0_tdata[63:0],m_axis_rx_0_tdata[63:0],reset_sys,rx_statistics_valid_ch0,rx_statistics_vector_ch0[29:0],tx_statistics_valid_ch0,tx_statistics_vector_ch0[25:0],rx_statistics_valid_ch1,rx_statistics_vector_ch1[29:0],tx_statistics_valid_ch1,tx_statistics_vector_ch1[25:0],s_axis_tx_1_tdata[63:0],m_axis_rx_1_tdata[63:0]
0,0,0,04000001,007d0002,01,01,55d255d255d255d2,55d355d355d355d3,0,0,04000ce2,0,1000801,0,040009e2,0,1000801,55d655d655d655d6,55cf55cf55cf55cf
1,1,0,04000001,007d0002,01,01,55d255d255d255d2,55d355d355d355d3,0,0,04000de2,0,1000801,0,04000ae2,0,1000801,55d655d655d655d6,55cf55cf55cf55cf
2,2,0,04000001,007d0002,01,01,55d255d255d255d2,55d355d355d355d3,0,0,04000ee2,0,1000801,0,04000be2,0,1000801,55d655d655d655d6,55cf55cf55cf55cf
3,3,0,04000001,007d0002,01,01,55d255d255d255d2,55d355d355d355d3,0,0,04000fe2,0,1000801,0,04000ce2,0,1000801,55d655d655d655d6,55cf55cf55cf55cf
4,4,0,04000001,007d0002,01,01,55d255d255d255d2,55d355d355d355d3,0,0,040010e2,0,1000901,0,04000de2,0,1000801,55d655d655d655d6,55cf55cf55cf55cf
5,5,0,04000001,007d0002,01,01,55d255d255d255d2,55d355d355d355d3,0,0,040011e1,0,1000a01,0,04000ee2,0,1000901,55d655d655d655d6,55cf55cf55cf55cf
6,6,0,04000001,007d0002,01,01,55d255d255d255d2,00a8714e8ed355d3,0,0,038011e1,0,1000b01,0,04000fe2,0,1000a01,55d655d655d655d6,55cf55cf55cf55cf
7,7,0,04000001,007d0002,01,01,55d255d255d255d2,0000000000000000,0,1,000011e1,0,1000c01,0,040010e2,0,1000b01,55d655d655d655d6,55cf55cf55cf55cf
8,8,0,04000001,007d0002,01,01,55d255d255d255d2,0000000000000000,0,0,000000e1,0,1000d01,0,040011e1,0,1000c01,55d655d655d655d6,55cf55cf55cf55cf
9,9,0,04000001,007d0002,01,01,55d255d255d255d2,0000000000000000,0,0,000000e1,0,1000e01,0,038011e1,0,1000d01,55d655d655d655d6,002345f3dacf55cf
10,10,0,04000001,007d0002,01,01,00e8875cc6d255d2,0000222200000000,0,0,040001e2,0,1000f01,1,000011e1,0,1000e01,0000222200000000,5555550000000000
11,11,0,04000001,007d0002,01,01,0000333300000000,55d47d0011110000,0,0,040002e2,0,1001001,0,000000e1,0,1000f01,55d77d0011110000,5555550000000000
12,12,0,04000001,007d0002,01,01,55d37d0011110000,55d455d455d455d4,0,0,040003e2,0,1001101,0,040001e2,0,1001001,55d755d755d755d7,0000333300000000
13,13,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,040004e2,1,0e011e1,0,040002e2,0,1001101,55d755d755d755d7,55d07d0011110000
14,14,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,040005e2,0,00011e1,0,040003e2,1,0e011e1,55d755d755d755d7,55d055d055d055d0
15,15,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,040006e2,0,0000001,0,040004e2,0,00011e1,55d755d755d755d7,55d055d055d055d0
16,16,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,040007e2,0,1000801,0,040005e2,0,00011e1,55d755d755d755d7,55d055d055d055d0
17,17,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,040008e2,0,1000801,0,040006e2,0,0000001,55d755d755d755d7,55d055d055d055d0
18,18,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,040009e2,0,1000801,0,040007e2,0,1000801,55d755d755d755d7,55d055d055d055d0
19,19,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,04000ae2,0,1000801,0,040008e2,0,1000801,55d755d755d755d7,55d055d055d055d0
20,20,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,04000be2,0,1000801,0,040009e2,0,1000801,55d755d755d755d7,55d055d055d055d0
21,21,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,04000ce2,0,1000801,0,04000ae2,0,1000801,55d755d755d755d7,55d055d055d055d0
22,22,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,04000de2,0,1000801,0,04000be2,0,1000801,55d755d755d755d7,55d055d055d055d0
23,23,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,04000ee2,0,1000801,0,04000ce2,0,1000801,55d755d755d755d7,55d055d055d055d0
24,24,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,04000fe2,0,1000901,0,04000de2,0,1000801,55d755d755d755d7,55d055d055d055d0
25,25,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,040010e2,0,1000a01,0,04000ee2,0,1000801,55d755d755d755d7,55d055d055d055d0
26,26,0,04000001,007d0002,01,01,55d355d355d355d3,55d455d455d455d4,0,0,040011e1,0,1000b01,0,04000fe2,0,1000901,55d755d755d755d7,55d055d055d055d0
27,27,0,04000001,007d0002,01,01,55d355d355d355d3,00b1c23737d455d4,0,0,038011e1,0,1000c01,0,040010e2,0,1000a01,55d755d755d755d7,55d055d055d055d0
28,28,0,04000001,007d0002,01,01,55d355d355d355d3,0000000000000000,0,1,000011e1,0,1000d01,0,040011e1,0,1000b01,55d755d755d755d7,55d055d055d055d0
29,29,0,04000001,007d0002,01,01,55d355d355d355d3,0000000000000000,0,0,000000e1,0,1000e01,0,038011e1,0,1000c01,55d755d755d755d7,00849223e6d055d0
30,30,0,04000001,007d0002,01,01,55d355d355d355d3,0000000000000000,0,0,000000e1,0,1000f01,1,000011e1,0,1000d01,0000222200000000,0000000000000000
31,31,0,04000001,007d0002,01,01,00a8714e8ed355d3,0000222200000000,0,0,040001e2,0,1001001,0,000000e1,0,1000e01,55d87d0011110000,0000000000000000
32,32,0,04000001,007d0002,01,01,0000333300000000,55d57d0011110000,0,0,040002e2,0,1001101,0,000000e1,0,1000f01,55d855d855d855d8,0000000000000000
33,33,0,04000001,007d0002,01,01,55d47d0011110000,55d555d555d555d5,0,0,040003e2,1,0e011e1,0,040001e2,0,1001001,55d855d855d855d8,0000333300000000
34,34,0,04000001,007d0002,01,01,55d455d455d455d4,55d555d555d555d5,0,0,040004e2,0,00011e1,0,040002e2,0,1001101,55d855d855d855d8,55d17d0011110000
35,35,0,04000001,007d0002,01,01,55d455d455d455d4,55d555d555d555d5,0,0,040005e2,0,00011e1,0,040003e2,1,0e011e1,55d855d855d855d8,55d155d155d155d1
36,36,0,04000001,007d0002,01,01,55d455d455d455d4,55d555d555d555d5,0,0,040006e2,0,0000001,0,040004e2,0,00011e1,55d855d855d855d8,55d155d155d155d1
37,37,0,04000001,007d0002,01,01,55d455d455d455d4,55d555d555d555d5,0,0,040007e2,0,1000801,0,040005e2,0,0000001,55d855d855d855d8,55d155d155d155d1
38,38,0,04000001,007d0002,01,01,55d455d455d455d4,55d555d555d555d5,0,0,040008e2,0,1000801,0,040006e2,0,1000801,55d855d855d855d8,55d155d155d155d1
39,39,0,04000001,007d0002,01,01,55d455d455d455d4,55d555d555d555d5,0,0,040009e2,0,1000801,0,040007e2,0,1000801,55d855d855d855d8,55d155d155d155d1
40,40,0,04000001,007d0002,01,01,55d455d455d455d4,55d555d555d555d5,0,0,04000ae2,0,1000801,0,040008e2,0,1000801,55d855d855d855d8,55d155d155d155d1
41,41,0,04000001,007d0002,01,01,55d455d455d455d4,55d555d555d555d5,0,0,04000be2,0,1000801,0,040009e2,0,1000801,55d855d855d855d8,55d155d155d155d1
