Sample in Buffer,Sample in Window,TRIGGER,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tready,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tready,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tlast,Interface_(i4:s0)_(s_axis_tx_0_1)[2:0],Interface_(i4:s1)_(mac_phy_ch0_m_axis_rx)[2:0],Interface_(i4:s2)_(s_axis_tx_1_1)[2:0],Interface_(i4:s3)_(mac_phy_ch1_m_axis_rx)[2:0],T_Channel_(i4:s0)_(s_axis_tx_0_1)[2:0],T_Channel_(i4:s1)_(mac_phy_ch0_m_axis_rx)[2:0],T_Channel_(i4:s2)_(s_axis_tx_1_1)[2:0],T_Channel_(i4:s3)_(mac_phy_ch1_m_axis_rx)[2:0]
0,0,0,180a180a180a180a,ff,0,1,1,0,1807180718071807,ff,0,1,0,180e180e180e180e,ff,0,1,0,0,180b180b180b180b,ff,0,1,0,"_","_","_","_","_","_","_","_"
1,1,0,180a180a180a180a,ff,0,1,0,0,1807180718071807,ff,0,1,0,180e180e180e180e,ff,0,1,0,0,180b180b180b180b,ff,0,1,0,"_","Active","_","Active","_","Stream Beat","_","Stream Beat"
2,2,0,180a180a180a180a,ff,0,1,0,0,1807180718071807,ff,0,1,0,180e180e180e180e,ff,0,1,1,0,180b180b180b180b,ff,0,1,0,"_","Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat"
3,3,0,180a180a180a180a,ff,0,1,1,0,1807180718071807,ff,0,1,0,180e180e180e180e,ff,0,1,1,0,180b180b180b180b,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
4,4,0,180a180a180a180a,ff,0,1,1,0,1807180718071807,ff,0,1,0,180e180e180e180e,ff,0,1,1,0,180b180b180b180b,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
5,5,0,180a180a180a180a,ff,0,1,1,0,1807180718071807,ff,0,1,0,180e180e180e180e,ff,0,1,1,0,180b180b180b180b,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
6,6,0,180a180a180a180a,ff,0,1,1,0,1807180718071807,ff,0,1,0,180e180e180e180e,ff,0,1,1,0,180b180b180b180b,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
7,7,0,180a180a180a180a,ff,0,1,1,0,1807180718071807,ff,0,1,0,180e180e180e180e,ff,0,1,1,0,180b180b180b180b,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
8,8,0,180a180a180a180a,ff,0,1,1,0,1807180718071807,ff,0,1,0,180e180e180e180e,ff,0,1,1,0,180b180b180b180b,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
9,9,0,180a180a180a180a,ff,0,1,1,0,1807180718071807,ff,0,1,0,180e180e180e180e,ff,0,1,1,0,180b180b180b180b,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
10,10,0,180a180a180a180a,ff,0,1,1,0,1807180718071807,ff,0,1,0,180e180e180e180e,ff,0,1,1,0,180b180b180b180b,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
11,11,0,180a180a180a180a,ff,0,1,1,0,1807180718071807,ff,0,1,0,180e180e180e180e,ff,0,1,1,0,180b180b180b180b,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
