Sample in Buffer,Sample in Window,TRIGGER,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tready,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tready,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tready,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tready
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,f4c0f4c0f4c0f4c0,ff,1,0,0,1,f4bcf4bcf4bcf4bc,ff,1,0,0,1,f4bbf4bbf4bbf4bb,ff,1,0,0,1,f56bf56bf56bf56b,ff,1,0,0,1
1,1,0,f4c0f4c0f4c0f4c0,ff,1,0,0,1,f4bcf4bcf4bcf4bc,ff,1,0,0,1,f4bbf4bbf4bbf4bb,ff,1,0,0,1,f56bf56bf56bf56b,ff,1,0,0,1
2,2,0,f4c0f4c0f4c0f4c0,ff,1,0,0,1,f4bcf4bcf4bcf4bc,ff,1,0,0,1,46ae55bbf4bbf4bb,1f,1,1,1,1,f56bf56bf56bf56b,ff,1,0,0,1
3,3,0,f4c0f4c0f4c0f4c0,ff,1,0,0,1,ffd364bcf4bcf4bc,1f,1,1,1,1,0000222200000000,ff,0,0,0,1,f56bf56bf56bf56b,ff,1,0,0,1
4,4,0,f4c0f4c0f4c0f4c0,1f,1,1,0,1,0000000000000013,1f,0,0,0,1,0000222200000000,ff,0,0,0,1,f56bf56bf56bf56b,ff,1,0,0,1
5,5,0,0000222200000000,ff,1,0,0,1,0000000000000013,1f,0,0,0,1,0000222200000000,ff,0,0,0,1,f56bf56bf56bf56b,ff,1,0,0,1
6,6,0,f4c14f0011110000,ff,1,0,0,1,0000000000000013,1f,0,0,0,1,0000222200000000,ff,1,0,0,1,f56bf56bf56bf56b,ff,1,0,0,1
7,7,0,f4c1f4c1f4c1f4c1,ff,1,0,0,1,0000222200000000,ff,1,0,0,1,f4bc4f0011110000,ff,1,0,0,1,f56bf56bf56bf56b,1f,1,1,0,1
8,8,0,f4c1f4c1f4c1f4c1,ff,1,0,0,1,f4bd4f0011110000,ff,1,0,0,1,f4bcf4bcf4bcf4bc,ff,1,0,0,1,0000222200000000,ff,1,0,0,1
