Sample in Buffer,Sample in Window,TRIGGER,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tready,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tready,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tlast,Interface_(i5:s0)_(s_axis_tx_0_1)[2:0],Interface_(i5:s1)_(mac_phy_ch0_m_axis_rx)[2:0],Interface_(i5:s2)_(s_axis_tx_1_1)[2:0],Interface_(i5:s3)_(mac_phy_ch1_m_axis_rx)[2:0],T_Channel_(i5:s0)_(s_axis_tx_0_1)[2:0],T_Channel_(i5:s1)_(mac_phy_ch0_m_axis_rx)[2:0],T_Channel_(i5:s2)_(s_axis_tx_1_1)[2:0],T_Channel_(i5:s3)_(mac_phy_ch1_m_axis_rx)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,fa554f0011110000,ff,0,1,1,0,97d997d997d997d9,ff,0,1,0,97dc97dc97dc97dc,ff,0,1,0,0,00000000000000a4,1f,0,0,0,"_","_","_","_","_","_","_","_"
1,1,0,fa55fa55fa55fa55,ff,0,1,1,0,97d997d997d997d9,ff,0,1,0,97dc97dc97dc97dc,ff,0,1,0,0,0000222200000000,ff,0,1,0,"Active","Active","_","Active","Stream Beat","Stream Beat","_","Stream Beat"
2,2,0,fa55fa55fa55fa55,ff,0,1,1,0,97d997d997d997d9,ff,0,1,0,97dc97dc97dc97dc,ff,0,1,0,0,fa514f0011110000,ff,0,1,0,"Active","Active","_","Active","Stream Beat","Stream Beat","_","Stream Beat"
3,3,0,fa55fa55fa55fa55,ff,0,1,0,0,97d997d997d997d9,ff,0,1,0,97dc97dc97dc97dc,ff,0,1,1,0,fa51fa51fa51fa51,ff,0,1,0,"_","Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat"
4,4,0,fa55fa55fa55fa55,ff,0,1,0,0,97d997d997d997d9,ff,0,1,0,97dc97dc97dc97dc,ff,0,1,1,0,fa51fa51fa51fa51,ff,0,1,0,"_","Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat"
5,5,0,fa55fa55fa55fa55,ff,0,1,0,0,97d997d997d997d9,ff,0,1,0,97dc97dc97dc97dc,ff,0,1,1,0,fa51fa51fa51fa51,ff,0,1,0,"_","Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat"
6,6,0,fa55fa55fa55fa55,ff,0,1,1,0,97d997d997d997d9,ff,0,1,0,97dc97dc97dc97dc,ff,0,1,1,0,fa51fa51fa51fa51,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
7,7,0,fa55fa55fa55fa55,ff,0,1,1,0,97d997d997d997d9,ff,0,1,0,97dc97dc97dc97dc,ff,0,1,1,0,fa51fa51fa51fa51,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
8,8,0,fa55fa55fa55fa55,ff,0,1,1,0,97d997d997d997d9,ff,0,1,0,97dc97dc97dc97dc,ff,0,1,1,0,fa51fa51fa51fa51,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
