Sample in Buffer,Sample in Window,TRIGGER,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tready,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tready,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/n_0_0,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tready
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,e39ce39ce39ce39c,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e447e447e447e447,ff,1,0,0,1
1,1,0,e39ce39ce39ce39c,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e447e447e447e447,ff,1,0,0,1
2,2,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e447e447e447e447,ff,1,0,0,1
3,3,0,e39d4f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e447e447e447e447,ff,1,0,0,1
4,4,0,e39de39de39de39d,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e447e447e447e447,1f,1,1,0,1
5,5,0,e39de39de39de39d,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
6,6,0,e39de39de39de39d,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e4484f0011110000,ff,1,0,0,1
7,7,0,e39de39de39de39d,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e448e448e448e448,ff,1,0,0,0
8,8,0,e39de39de39de39d,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e448e448e448e448,ff,1,0,0,0
